"ID","Game","Power","P1_Expectation","P2_Expectation"
"t05qa367c","common_interest_2",100,100,0
"t05qa367c","costly_help_2",0,0,0
"t05qa367c","costly_punish_1",100,100,0
"t05qa367c","free_help_2",50,0,0
"t05qa367c","near_dictator_1",100,0,0
"t05qa367c","safe_shot_1",100,100,0
"t05qa367c","safe_shot_2",100,100,0
"t05qa367c","strategic_dummy_1",100,100,50
"t05qa367c","trust_game_2",100,100,100
"t74zk1y1n","common_interest_1",19,99,0
"t74zk1y1n","common_interest_2",22,100,0
"t74zk1y1n","costly_help_2",15,20,99
"t74zk1y1n","costly_punish_1",74,4,0
"t74zk1y1n","free_help_2",0,96,0
"t74zk1y1n","near_dictator_1",24,0,0
"t74zk1y1n","safe_shot_1",94,100,0
"t74zk1y1n","safe_shot_2",25,100,3
"t74zk1y1n","strategic_dummy_1",91,100,50
"t74zk1y1n","trust_game_2",11,23,96
"uo3csfta8","common_interest_1",27,21,4
"uo3csfta8","common_interest_2",17,100,1
"uo3csfta8","costly_help_2",50,27,78
"uo3csfta8","costly_punish_1",50,28,20
"uo3csfta8","free_help_2",0,76,0
"uo3csfta8","near_dictator_1",18,7,15
"uo3csfta8","safe_shot_1",0,99,4
"uo3csfta8","safe_shot_2",70,92,7
"uo3csfta8","strategic_dummy_1",92,86,50
"uo3csfta8","trust_game_2",25,24,75
"uxqvjrmwq","common_interest_1",77,24,0
"uxqvjrmwq","common_interest_2",83,23,4
"uxqvjrmwq","costly_help_2",81,25,82
"uxqvjrmwq","costly_punish_1",6,25,25
"uxqvjrmwq","free_help_2",24,22,15
"uxqvjrmwq","near_dictator_1",0,2,22
"uxqvjrmwq","safe_shot_1",50,100,25
"uxqvjrmwq","safe_shot_2",74,100,25
"uxqvjrmwq","strategic_dummy_1",78,99,48
"uxqvjrmwq","trust_game_2",100,74,75
"uxvn1geg2","common_interest_1",25,26,0
"uxvn1geg2","common_interest_2",77,75,0
"uxvn1geg2","costly_help_2",74,75,77
"uxvn1geg2","costly_punish_1",76,75,5
"uxvn1geg2","free_help_2",20,23,2
"uxvn1geg2","near_dictator_1",24,24,1
"uxvn1geg2","safe_shot_1",74,99,3
"uxvn1geg2","safe_shot_2",97,98,3
"uxvn1geg2","strategic_dummy_1",76,96,50
"uxvn1geg2","trust_game_2",76,99,97
"v8hfh3asv","common_interest_1",50,100,0
"v8hfh3asv","common_interest_2",100,50,0
"v8hfh3asv","costly_help_2",75,76,100
"v8hfh3asv","costly_punish_1",0,76,0
"v8hfh3asv","free_help_2",25,76,0
"v8hfh3asv","near_dictator_1",0,0,0
"v8hfh3asv","safe_shot_1",100,100,100
"v8hfh3asv","safe_shot_2",75,100,0
"v8hfh3asv","strategic_dummy_1",0,100,50
"v8hfh3asv","trust_game_2",24,26,100
"vcepnr2yl","common_interest_1",25,85,0
"vcepnr2yl","common_interest_2",81,59,29
"vcepnr2yl","costly_help_2",15,16,75
"vcepnr2yl","costly_punish_1",6,92,7
"vcepnr2yl","free_help_2",58,100,10
"vcepnr2yl","near_dictator_1",12,84,0
"vcepnr2yl","safe_shot_1",100,97,8
"vcepnr2yl","safe_shot_2",100,100,31
"vcepnr2yl","strategic_dummy_1",49,100,50
"vcepnr2yl","trust_game_2",74,63,75
"w4bjdm196","common_interest_1",99,95,79
"w4bjdm196","common_interest_2",83,88,98
